name,gb,pname,officalProvinceNum2025,provinceNum2025,cityNum2025,dividRatio,officalCityNumDivid
鄂尔多斯市,156150600,内蒙古自治区,4816,5318,1171,0.220195562241444,1060
阿拉善盟,156152900,内蒙古自治区,4816,5318,303,0.056976306882287,274
山南市,156540500,西藏自治区,279,421,31,0.073634204275534,21
开封市,156410200,河南省,12525,15874,699,0.044034269875268,552
重庆市,156500000,重庆市,5344,5600,5600,1.000000000000000,5344
钦州市,156450700,广西壮族自治区,8814,10222,560,0.054783799647818,483
榆林市,156610800,陕西省,6270,5960,439,0.073657718120805,462
伊春市,156230700,黑龙江省,1662,1844,28,0.015184381778742,25
运城市,156140800,山西省,5731,5767,504,0.087393792266343,501
丽江市,156530700,云南省,5815,6937,341,0.049156695978089,286
黄冈市,156421100,湖北省,8311,11670,830,0.071122536418166,591
吴忠市,156640300,宁夏回族自治区,1409,2035,318,0.156265356265356,220
南阳市,156411300,河南省,12525,15874,1086,0.068413758346982,857
乌鲁木齐市,156650100,新疆维吾尔自治区,4735,5519,1411,0.255662257655372,1211
和田地区,156653200,新疆维吾尔自治区,4735,5519,281,0.050915020837108,241
海南藏族自治州,156632500,青海省,578,488,42,0.086065573770492,50
海东市,156630200,青海省,578,488,99,0.202868852459016,117
武汉市,156420100,湖北省,8311,11670,3552,0.304370179948586,2530
儋州市,156460400,海南省,4372,3928,265,0.067464358452138,295
甘孜藏族自治州,156513300,四川省,12365,11998,401,0.033422237039507,413
内江市,156511000,四川省,12365,11998,255,0.021253542257043,263
烟台市,156370600,山东省,18515,20260,1277,0.063030602171767,1167
南京市,156320100,江苏省,25553,21829,2977,0.136378212469650,3485
白银市,156620400,甘肃省,1894,2440,142,0.058196721311475,110
郴州市,156431000,湖南省,5854,7605,562,0.073898750821828,433
呼伦贝尔市,156150700,内蒙古自治区,4816,5318,187,0.035163595336593,169
防城港市,156450600,广西壮族自治区,8814,10222,322,0.031500684797496,278
北京市,156110000,北京市,9986,6055,6055,1.000000000000000,9986
洛阳市,156410300,河南省,12525,15874,1378,0.086808617865692,1087
澳门特别行政区,156820000,澳门特别行政区,,35,35,1.000000000000000,
汉中市,156610700,陕西省,6270,5960,433,0.072651006711409,456
吉安市,156360800,江西省,6116,8183,835,0.102040816326531,624
丽水市,156331100,浙江省,21942,19399,498,0.025671426362184,563
忻州市,156140900,山西省,5731,5767,408,0.070747355644182,405
中山市,156442000,广东省,38770,32965,1387,0.042074927953890,1631
鹤岗市,156230400,黑龙江省,1662,1844,23,0.012472885032538,21
白山市,156220600,吉林省,1416,1927,83,0.043072132848988,61
咸宁市,156421200,湖北省,8311,11670,512,0.043873179091688,365
宿迁市,156321300,江苏省,25553,21829,1000,0.045810618901461,1171
济源市,156419001,河南省,12525,15874,167,0.010520347738440,132
营口市,156210800,辽宁省,3194,3917,233,0.059484299208578,190
商丘市,156411400,河南省,12525,15874,1095,0.068980723195162,864
果洛藏族自治州,156632600,青海省,578,488,11,0.022540983606557,13
三沙市,156460300,海南省,4372,3928,2,0.000509164969450,2
黄石市,156420200,湖北省,8311,11670,448,0.038389031705227,319
阿坝藏族羌族自治州,156513200,四川省,12365,11998,497,0.041423570595099,512
潍坊市,156370700,山东省,18515,20260,1778,0.087759131293189,1625
天水市,156620500,甘肃省,1894,2440,165,0.067622950819672,128
永州市,156431100,湖南省,5854,7605,452,0.059434582511506,348
巴彦淖尔市,156150800,内蒙古自治区,4816,5318,255,0.047950357277172,231
北海市,156450500,广西壮族自治区,8814,10222,409,0.040011739385639,353
平顶山市,156410400,河南省,12525,15874,586,0.036915711225904,462
宜春市,156360900,江西省,6116,8183,778,0.095075155810827,581
台州市,156331000,浙江省,21942,19399,1158,0.059693798649415,1310
东方市,156469007,海南省,4372,3928,113,0.028767820773931,126
延安市,156610600,陕西省,6270,5960,325,0.054530201342282,342
万宁市,156469006,海南省,4372,3928,188,0.047861507128310,209
文昌市,156469005,海南省,4372,3928,214,0.054480651731161,238
双鸭山市,156230500,黑龙江省,1662,1844,73,0.039587852494577,66
临沧市,156530900,云南省,5815,6937,208,0.029984143001297,174
松原市,156220700,吉林省,1416,1927,164,0.085106382978723,121
随州市,156421300,湖北省,8311,11670,404,0.034618680377035,288
资阳市,156512000,四川省,12365,11998,259,0.021586931155193,267
银川市,156640100,宁夏回族自治区,1409,2035,846,0.415724815724816,586
泰州市,156321200,江苏省,25553,21829,1046,0.047917907370929,1224
神农架林区,156429021,湖北省,8311,11670,61,0.005227077977721,43
阜新市,156210900,辽宁省,3194,3917,97,0.024763849885116,79
琼海市,156469002,海南省,4372,3928,252,0.064154786150713,280
五指山市,156469001,海南省,4372,3928,78,0.019857433808554,87
信阳市,156411500,河南省,12525,15874,1048,0.066019906765781,827
湖州市,156330500,浙江省,21942,19399,1609,0.082942419712356,1820
黄南藏族自治州,156632300,青海省,578,488,13,0.026639344262295,15
抚州市,156361000,江西省,6116,8183,484,0.059147012098252,362
清远市,156441800,广东省,38770,32965,1005,0.030486880024268,1182
天津市,156120000,天津市,7389,4598,4598,1.000000000000000,7389
嘉峪关市,156620200,甘肃省,1894,2440,41,0.016803278688525,32
乌兰察布市,156150900,内蒙古自治区,4816,5318,552,0.103798420458819,500
阿里地区,156542500,西藏自治区,279,421,9,0.021377672209026,6
连云港市,156320700,江苏省,25553,21829,905,0.041458610105823,1059
克孜勒苏柯尔克孜自治州,156653000,新疆维吾尔自治区,4735,5519,66,0.011958688168146,57
日喀则市,156540200,西藏自治区,279,421,50,0.118764845605701,33
渭南市,156610500,陕西省,6270,5960,629,0.105536912751678,662
铜仁市,156520600,贵州省,5066,5379,375,0.069715560513107,353
玉溪市,156530400,云南省,5815,6937,392,0.056508577194753,329
江门市,156440700,广东省,38770,32965,1199,0.036371909601092,1410
益阳市,156430900,湖南省,5854,7605,402,0.052859960552268,309
广元市,156510800,四川省,12365,11998,394,0.032838806467745,406
芜湖市,156340200,安徽省,9743,20493,2056,0.100326940906651,977
塔城地区,156654200,新疆维吾尔自治区,4735,5519,187,0.033882949809748,160
嘉兴市,156330400,浙江省,21942,19399,2185,0.112634671890304,2471
西宁市,156630100,青海省,578,488,208,0.426229508196721,246
上饶市,156361100,江西省,6116,8183,828,0.101185384333374,619
东莞市,156441900,广东省,38770,32965,2975,0.090247231912635,3499
南通市,156320600,江苏省,25553,21829,1946,0.089147464382244,2278
辽阳市,156211000,辽宁省,3194,3917,131,0.033443962215982,107
巴中市,156511900,四川省,12365,11998,206,0.017169528254709,212
六安市,156341500,安徽省,9743,20493,1004,0.048992338847411,477
金昌市,156620300,甘肃省,1894,2440,79,0.032377049180328,61
廊坊市,156131000,河北省,11267,11652,1607,0.137916237555784,1554
拉萨市,156540100,西藏自治区,279,421,113,0.268408551068884,75
喀什地区,156653100,新疆维吾尔自治区,4735,5519,491,0.088965392281210,421
阿勒泰地区,156654300,新疆维吾尔自治区,4735,5519,104,0.018843993477079,89
毕节市,156520500,贵州省,5066,5379,591,0.109871723368656,557
福州市,156350100,福建省,8162,7767,1480,0.190549761812798,1555
咸阳市,156610400,陕西省,6270,5960,643,0.107885906040268,676
文山壮族苗族自治州,156532600,云南省,5815,6937,297,0.042813896497045,249
湛江市,156440800,广东省,38770,32965,881,0.026725314727742,1036
曲靖市,156530300,云南省,5815,6937,648,0.093412137811734,543
蚌埠市,156340300,安徽省,9743,20493,1145,0.055872737032157,544
绵阳市,156510700,四川省,12365,11998,827,0.068928154692449,852
温州市,156330300,浙江省,21942,19399,1957,0.100881488736533,2214
苏州市,156320500,江苏省,25553,21829,4043,0.185212332218608,4733
阜阳市,156341200,安徽省,9743,20493,1411,0.068852778997707,671
林芝市,156540400,西藏自治区,279,421,116,0.275534441805226,77
衡水市,156131100,河北省,11267,11652,679,0.058273257809818,657
许昌市,156411000,河南省,12525,15874,667,0.042018394859519,526
佳木斯市,156230800,黑龙江省,1662,1844,103,0.055856832971800,93
宝鸡市,156610300,陕西省,6270,5960,412,0.069127516778523,433
昭通市,156530600,云南省,5815,6937,392,0.056508577194753,329
大理白族自治州,156532900,云南省,5815,6937,638,0.091970592475133,535
定西市,156621100,甘肃省,1894,2440,195,0.079918032786885,151
